소속기관명,시설명,계측가능여부,임차여부,연료명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
중부소방서,중부소방서 초량119안전센터,Y,N,도시가스(LNG),1.794,1.876,1.634,1.537,0.979,0.84,0.402,0.197,0.203,0.14,0.467,0.466
중부소방서,중부소방서 초량119안전센터,Y,N,전력,2.676,3.465,3.259,2.581,2.506,2.421,2.784,3.562,3.953,3.433,2.908,2.558
부산진소방서,수정119안전센터,Y,N,보일러 등유,0.989,1.113,0,0,0,0,0,0,0,0,0,0
부산진소방서,수정119안전센터,Y,N,전력,1.969,2.716,2.242,1.641,1.678,1.392,1.477,1.831,1.947,1.773,1.72,1.477
부산진소방서,가야119안전센터,Y,N,전력,5.346,4.819,3.995,3.397,2.851,2.07,2.099,2.558,2.33,2.085,2.358,3.151
부산진소방서,부암119안전센터,Y,N,보일러 등유,1.113,0,0,1.951,0,0,0,0,0,0,0,0
부산진소방서,부암119안전센터,Y,N,전력,2.803,2.647,1.986,0.924,1.624,1.892,1.534,2.081,1.665,1.733,1.53,1.781
부산진소방서,당감119안전센터,Y,N,도시가스(LNG),1.829,2.551,1.568,1.295,1.109,1.109,0.825,1.418,1.947,0.731,0.783,1.31
부산진소방서,당감119안전센터,Y,N,전력,1.517,1.993,1.614,1.313,1.313,1.069,1.069,1.069,1.069,1.129,1.006,1.118
부산진소방서,"부산진소방서,부전119안전센터",Y,N,도시가스(LNG),2.794,3.45,1.912,1.531,1.291,1.814,3.929,4.607,5.486,4.299,3.235,2.216
부산진소방서,"부산진소방서,부전119안전센터",Y,N,전력,20.665,17.451,13.606,12.228,12.342,11.719,13.493,15.516,15.235,12.96,12.6,14.614
